FID,IDtramMucN,tenTram,gio,ngay,toaDoX,toaDoY,mucNuoc,doCaoDinhT,doCaoChanT,baoDongI,baoDongII,baoDongIII,maXa,maHuyen,ghiChu,kinhDo,viDo,day,month,year
0,MN1,Phú An, ,2008-02-01,0,0,0,1.01,-0.93,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,1,2,2008
1,MN2,Phú An, ,2008-02-02,0,0,0,1,-1.06,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,2,2,2008
2,MN3,Phú An, ,2008-02-03,0,0,0,1.14,-1.26,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,3,2,2008
3,MN4,Phú An, ,2008-02-04,0,0,0,1.24,-1.32,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,4,2,2008
4,MN5,Phú An, ,2008-02-05,0,0,0,1.15,-1.54,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,5,2,2008
5,MN6,Phú An, ,2008-02-06,0,0,0,1.19,-1.62,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,6,2,2008
6,MN7,Phú An, ,2008-02-07,0,0,0,1.3,-1.37,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,7,2,2008
7,MN8,Phú An, ,2008-02-08,0,0,0,1.4,-1.31,1,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,8,2,2008
8,MN9,Phú An, ,2008-02-09,0,0,0,1.43,-1.24,1,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,9,2,2008
9,MN10,Phú An, ,2008-02-10,0,0,0,1.4,-1.12,1,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,10,2,2008
