FID,IDtramMua,tenTram,capTram,viTriTram,gio,ngay,toaDoX,toaDoY,luongMua,maXa,maHuyen,ghiChu,kinhDo,viDo,day,month,year
0,MUA1,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-01-25,0,0,0.8,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,25,1,1995
1,MUA2,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-01-29,0,0,6.7,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,29,1,1995
2,MUA3,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-03-21,0,0,18.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,21,3,1995
3,MUA4,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-03-26,0,0,49.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,26,3,1995
4,MUA5,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-04-03,0,0,7.7,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,3,4,1995
5,MUA6,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-04-12,0,0,0.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,12,4,1995
6,MUA7,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-04-27,0,0,0.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,27,4,1995
7,MUA8,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-04-30,0,0,1.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,30,4,1995
8,MUA9,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-03,0,0,10.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,3,5,1995
9,MUA10,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-07,0,0,0.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,7,5,1995
10,MUA11,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-11,0,0,8.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,11,5,1995
11,MUA12,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-14,0,0,10.6,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,14,5,1995
12,MUA13,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-16,0,0,3.6,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,16,5,1995
13,MUA14,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-18,0,0,32,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,18,5,1995
14,MUA15,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-20,0,0,9.8,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,20,5,1995
15,MUA16,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-26,0,0,8.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,26,5,1995
16,MUA17,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-28,0,0,14.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,28,5,1995
17,MUA18,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-05-31,0,0,0.8,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,31,5,1995
18,MUA19,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-02,0,0,18.8,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,2,6,1995
19,MUA20,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-05,0,0,31.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,5,6,1995
20,MUA21,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-08,0,0,0.4,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,8,6,1995
21,MUA22,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-11,0,0,40.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,11,6,1995
22,MUA23,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-14,0,0,9.4,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,14,6,1995
23,MUA24,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-18,0,0,3.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,18,6,1995
24,MUA25,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-19,0,0,5.4,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,19,6,1995
25,MUA26,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-20,0,0,13.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,20,6,1995
26,MUA27,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-21,0,0,12.6,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,21,6,1995
27,MUA28,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-23,0,0,2.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,23,6,1995
28,MUA29,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-25,0,0,18.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,25,6,1995
29,MUA30,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-26,0,0,8.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,26,6,1995
30,MUA31,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-27,0,0,1.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,27,6,1995
31,MUA32,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-28,0,0,23.7,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,28,6,1995
32,MUA33,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-29,0,0,42.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,29,6,1995
33,MUA34,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-06-30,0,0,19.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,30,6,1995
34,MUA35,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-01,0,0,22.2,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,1,7,1995
35,MUA36,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-05,0,0,27.1,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,5,7,1995
36,MUA37,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-06,0,0,31,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,6,7,1995
37,MUA38,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-07,0,0,12.3,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,7,7,1995
38,MUA39,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-09,0,0,27.5,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,9,7,1995
39,MUA40,An Phú, ,"UBND Xã An Phú, Huyện Củ Chi", ,1995-07-10,0,0,1.4,27502,783,Tổng hợp từ số liệu CCTL (Mua - An Phu),106.506667,11.111667,10,7,1995
